country,cou_relationship_com ,company,com_relationship_tra,tracker,t_relationship_cat,category
GER,besitzt,semasio,unterteilt sich in,semasio,trackt mittels,advertising
USA,besitzt,verizon,unterteilt sich in,yahoo_ad_exchange,trackt mittels,advertising
GBR,besitzt,captify,unterteilt sich in,cpx.to,trackt mittels,advertising
USA,besitzt,oracle,unterteilt sich in,maxymiser,trackt mittels,advertising
USA,besitzt,mcafee,unterteilt sich in,mcafee_secure,trackt mittels,essential
JPN,besitzt,logly,unterteilt sich in,logly,trackt mittels,site_analytics
GER,besitzt,smartclip,unterteilt sich in,smartclip,trackt mittels,advertising
GER,besitzt,eyeota,unterteilt sich in,eyeota,trackt mittels,advertising
USA,besitzt,hubspot,unterteilt sich in,hubspot_forms,trackt mittels,customer_interaction
USA,besitzt,loggly,unterteilt sich in,loggly,trackt mittels,site_analytics
USA,besitzt,pocket,unterteilt sich in,pocket,trackt mittels,site_analytics
USA,besitzt,trueanthem,unterteilt sich in,trueanthem,trackt mittels,advertising
CHN,besitzt,alibaba,unterteilt sich in,alipay.com,trackt mittels,customer_interaction
USA,besitzt,webcollage,unterteilt sich in,webcollage,trackt mittels,customer_interaction
USA,besitzt,synacor,unterteilt sich in,synacor,trackt mittels,advertising
USA,besitzt,bloomreach,unterteilt sich in,bloomreach,trackt mittels,advertising
USA,besitzt,owneriq,unterteilt sich in,owneriq,trackt mittels,advertising
ESP,besitzt,userzoom,unterteilt sich in,userzoom.com,trackt mittels,customer_interaction
RUS,besitzt,yandex,unterteilt sich in,yandex.api,trackt mittels,customer_interaction
BEL,besitzt,adswizz,unterteilt sich in,adswizz,trackt mittels,advertising
FRA,besitzt,sendinblue,unterteilt sich in,sendinblue,trackt mittels,advertising
USA,besitzt,signifyd,unterteilt sich in,signifyd,trackt mittels,site_analytics
USA,besitzt,triggermail,unterteilt sich in,bluecore,trackt mittels,advertising
USA,besitzt,ibm,unterteilt sich in,ibm_customer_experience,trackt mittels,site_analytics
USA,besitzt,crisp,unterteilt sich in,crisp,trackt mittels,customer_interaction
GER,besitzt,opinary,unterteilt sich in,opinary,trackt mittels,customer_interaction
RUS,besitzt,flocktory,unterteilt sich in,flocktory.com,trackt mittels,site_analytics
FRA,besitzt,sien,unterteilt sich in,ividence,trackt mittels,advertising
ISR,besitzt,playbuzz,unterteilt sich in,playbuzz.com,trackt mittels,customer_interaction
GER,besitzt,arvato,unterteilt sich in,adality_gmbh,trackt mittels,advertising
USA,besitzt,innovid,unterteilt sich in,innovid,trackt mittels,advertising
USA,besitzt,olark,unterteilt sich in,olark,trackt mittels,customer_interaction
USA,besitzt,highwinds,unterteilt sich in,highwinds,trackt mittels,site_analytics
USA,besitzt,privy,unterteilt sich in,privy.com,trackt mittels,customer_interaction
USA,besitzt,jivox,unterteilt sich in,jivox,trackt mittels,advertising
USA,besitzt,google,unterteilt sich in,feedburner.com,trackt mittels,advertising
USA,besitzt,adelphic,unterteilt sich in,adelphic,trackt mittels,site_analytics
USA,besitzt,uservoice,unterteilt sich in,uservoice,trackt mittels,customer_interaction
USA,besitzt,auth0,unterteilt sich in,auth0,trackt mittels,site_analytics
USA,besitzt,samsung,unterteilt sich in,adgear,trackt mittels,advertising
